"","Group.1","x"
"1490","35650",587
"1491","35652",474
"1492","35653",273
"1493","35654",326
"1494","35660",519
"1495","35661",350
"1496","35670",113
"1497","35671",1
"1498","35672",2
"1499","35673",428
"1500","35674",588
"1501","35739",224
"1502","35740",2
"1503","35741",214
"1504","35744",1
"1505","35747",215
"1506","35748",113
"1507","35749",214
"1508","35750",496
"1509","35751",1
"1510","35752",112
"1511","35754",261
"1512","35756",113
"1513","35757",214
"1514","35758",473
"1515","35759",261
"1516","35760",224
"1517","35761",215
"1518","35762",1
"1519","35763",474
"1520","35768",329
"1521","35769",496
"1522","35771",474
"1523","35772",261
"1524","35773",261
"1525","35801",522
"1526","35802",520
"1527","35803",609
"1528","35805",362
"1529","35806",307
"1530","35807",1
"1531","35810",340
"1532","35811",439
"1533","35816",125
"1534","35824",1
"1535","35898",1
"1536","35901",319
"1537","35902",2
"1538","35903",114
"1539","35904",317
"1540","35905",326
"1541","35906",417
"1542","35907",326
"1543","35950",137
"1544","35951",326
"1545","35952",2
"1546","35953",520
"1547","35954",587
"1548","35956",1
"1549","35957",340
"1550","35958",1
"1551","35959",112
"1552","35960",296
"1553","35961",326
"1554","35962",224
"1555","35964",1
"1556","35967",384
"1557","35968",113
"1558","35971",215
"1559","35974",1
"1560","35976",406
"1561","35978",2
"1562","35979",112
"1563","35980",1
"1564","35981",112
"1565","35983",112
"1566","35984",1
"1567","35986",474
"1568","35988",2
"1569","36009",1
"1570","36010",224
"1571","36016",1
"1572","36024",282
"1573","36025",112
"1574","36027",632
"1575","36032",214
"1576","36033",1
"1577","36035",1
"1578","36037",328
"1579","36043",112
"1580","36048",1
"1581","36049",417
"1582","36054",508
"1583","36064",1
"1584","36065",1
"1585","36066",576
"1586","36067",306
"1587","36072",1
"1588","36078",36
"1589","36079",326
"1590","36081",395
"1591","36083",326
"1592","36089",406
"1593","36091",112
"1594","36092",339
"1595","36093",283
"1596","36101",2
"1597","36104",169
"1598","36105",428
"1599","36106",340
"1600","36107",587
"1601","36108",249
"1602","36109",37
"1603","36110",565
"1604","36111",283
"1605","36116",462
"1606","36117",345
"1607","36201",191
"1608","36202",2
"1609","36203",484
"1610","36206",565
"1611","36207",326
"1612","36250",326
"1613","36251",215
"1614","36256",2
"1615","36258",1
"1616","36260",113
"1617","36262",1
"1618","36264",294
"1619","36265",406
"1620","36266",215
"1621","36268",1
"1622","36271",1
"1623","36272",394
"1624","36273",215
"1625","36274",564
"1626","36276",2
"1627","36278",214
"1628","36280",112
"1629","36301",287
"1630","36303",368
"1631","36305",3
"1632","36310",554
"1633","36311",112
"1634","36312",113
"1635","36319",214
"1636","36320",1
"1637","36321",1
"1638","36322",317
"1639","36323",496
"1640","36330",236
"1641","36340",296
"1642","36344",113
"1643","36345",542
"1644","36350",1
"1645","36352",112
"1646","36360",37
"1647","36361",214
"1648","36362",224
"1649","36371",1
"1650","36375",326
"1651","36401",113
"1652","36420",181
"1653","36421",520
"1654","36426",258
"1655","36427",1
"1656","36439",1
"1657","36441",326
"1658","36442",428
"1659","36445",2
"1660","36451",428
