"","GEO.id2","ESTAB"
"527332","72753","1"
"527499","72756","6"
"528129","72758","2"
"528924","72762","4"
"529360","72764","2"
"529948","72770","1"
"530118","72801","8"
"530661","72802","3"
"531168","72823","1"
"531323","72824","1"
"531366","72830","2"
"531739","72833","1"
"531898","72834","2"
"532072","72837","1"
"532708","72858","1"
"532876","72901","9"
"533541","72903","8"
"534150","72904","2"
"534942","72921","2"
"535183","72923","1"
"536438","72956","3"
"536895","72958","1"
"537049","72959","1"
"537609","80003","5"
"538050","80004","3"
"538321","80005","3"
"538531","80007","3"
"538660","80010","5"
"539071","80011","7"
"539604","80012","11"
"540228","80013","3"
"540569","80014","5"
"541092","80015","1"
"541947","80017","2"
"542208","80020","4"
"542761","80021","6"
"543352","80022","6"
"543773","80023","4"
"544062","80026","4"
"544438","80027","5"
"544877","80030","1"
"545254","80031","3"
"545571","80033","4"
"546372","80104","2"
"546922","80107","3"
"547111","80108","5"
"547527","80109","4"
"547723","80110","3"
"548272","80111","4"
"548691","80112","5"
"549280","80113","5"
"549962","80120","5"
"550500","80121","2"
"550833","80122","9"
"551342","80123","9"
"551971","80124","2"
"552630","80126","1"
"553097","80127","2"
"553460","80128","4"
"553711","80129","1"
"554032","80130","4"
"554218","80132","4"
"554662","80134","7"
"555223","80135","1"
"555306","80136","1"
"555427","80138","3"
"555707","80202","2"
"556184","80203","2"
